127.0.0.1 - - [21/Mar/2025:13:37:15 +0900] "GET / HTTP/1.1" 200 11430
0:0:0:0:0:0:0:1 - - [21/Mar/2025:13:37:15 +0900] "GET /project_mvc1_milk1/milk_insert.jsp HTTP/1.1" 500 2696
0:0:0:0:0:0:0:1 - - [21/Mar/2025:13:37:25 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9514
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:10:48 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9514
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:10:55 +0900] "POST /project_mvc1_milk1/milk_insert.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:11:28 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9735
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:14:30 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9735
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:14:31 +0900] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:14:31 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9735
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:14:31 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9735
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:14:31 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9735
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:14:41 +0900] "POST /project_mvc1_milk1/milk_update.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:16:07 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9731
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:16:34 +0900] "POST /project_mvc1_milk1/milk_update.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:17:33 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9731
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:17:33 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9731
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:17:42 +0900] "POST /project_mvc1_milk1/milk_update.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:17:44 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9731
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:18:20 +0900] "POST /project_mvc1_milk1/milk_delete.jsp HTTP/1.1" 500 2744
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:18:43 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9731
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:18:43 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9731
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:18:43 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9731
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:18:48 +0900] "POST /project_mvc1_milk1/milk_delete.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [21/Mar/2025:14:18:50 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9504
0:0:0:0:0:0:0:1 - - [21/Mar/2025:18:04:42 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9504
0:0:0:0:0:0:0:1 - - [21/Mar/2025:18:06:22 +0900] "POST /project_mvc1_milk1/milk_insert.jsp HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [21/Mar/2025:18:06:23 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [21/Mar/2025:18:14:43 +0900] "GET /project_mvc1_milk1/milk.jsp HTTP/1.1" 200 10387
0:0:0:0:0:0:0:1 - - [21/Mar/2025:18:15:06 +0900] "POST /project_mvc1_milk1/milk_insert.jsp HTTP/1.1" 500 2989
